iter	RMSE
0	222404.5087
1	217612.1837
2	212824.5287
3	208204.0268
4	203890.3543
5	199488.5418
6	195875.8837
7	192797.5526
8	188836.367
9	184980.8053
10	180822.747
11	176825.5032
12	172921.8234
13	169196.6525
14	166014.6441
15	162558.1077
16	159618.8105
17	156552.7769
18	153504.8362
19	150488.287
20	147731.9346
21	144730.6372
22	142091.4697
23	139552.2819
24	136999.1719
25	134451.1109
26	131996.449
27	129998.8638
28	127730.2195
29	125576.8572
30	123563.8104
31	121752.9793
32	119694.2941
33	117717.021
34	115994.1549
35	114421.7268
36	112827.5479
37	111119.3061
38	109494.3631
39	107914.0728
40	106683.9726
41	105278.5042
42	103855.9825
43	102516.1224
44	101169.6426
45	99850.80626
46	98464.42379
47	97267.71326
48	96161.00516
49	95092.13382
50	93930.56586
51	92882.06614
52	92059.27868
53	91202.2496
54	90426.73572
55	89478.17102
56	88547.05837
57	87831.87978
58	86815.76227
59	86006.42627
60	85216.40915
61	84440.28009
62	84053.13014
63	83288.27458
64	82490.53635
65	81634.16947
66	80903.33563
67	80177.36929
68	79646.89851
69	78822.16397
70	78226.61249
71	77924.80545
72	77260.95041
73	76774.84571
74	76229.79559
75	75746.78457
76	75261.5466
77	74917.91882
78	74282.79319
79	73750.33667
80	73090.24453
81	72541.98455
82	72185.89178
83	71611.46778
84	71177.80763
85	70777.57204
86	70431.59297
87	70074.5745
88	69680.09794
89	69290.13846
90	68842.56876
91	68414.991
92	68050.05568
93	67582.32776
94	67292.89372
95	66927.82625
96	66519.89926
97	66215.79705
98	65906.7528
99	65615.66511
100	65226.44664
101	64908.28056
102	64586.13762
103	64270.92773
104	63974.56611
105	63659.27888
106	63389.9816
107	62997.18363
108	62744.14632
109	62509.98196
110	62290.04703
111	62019.37854
112	61819.3807
113	61616.61606
114	61410.0061
115	61112.4529
116	60919.02404
117	60672.45318
118	60509.65161
119	60319.43756
120	60083.39533
121	59830.99574
122	59675.42135
123	59520.59631
124	59344.20304
125	59170.6713
126	58930.27735
127	58787.59755
128	58618.62669
129	58504.09276
130	58199.37702
131	58026.10997
132	57774.11161
133	57591.01912
134	57362.24454
135	57088.3349
136	56867.61183
137	56775.74762
138	56619.37008
139	56450.38368
140	56352.69389
141	56178.86357
142	56146.88047
143	55984.66403
144	55863.52442
145	55743.92374
146	55607.47511
147	55442.27731
148	55212.45287
149	55173.63478
150	55046.28228
151	54912.41791
152	54789.82987
153	54520.84453
154	54385.73851
155	54276.35772
156	54076.25587
157	53974.30857
158	53857.98261
159	53599.28826
160	53555.64986
161	53361.7841
162	53222.3247
163	53142.07124
164	52955.34189
165	52858.38134
166	52739.31055
167	52637.36714
168	52473.35371
169	52259.38218
170	52130.93717
171	52105.99902
172	52039.57725
173	51946.1972
174	51798.2615
175	51740.17125
176	51543.96653
177	51487.71711
178	51353.55201
179	51256.7096
180	51163.2387
181	51057.3125
182	50907.85342
183	50843.2261
184	50726.80043
185	50667.08114
186	50550.7812
187	50502.52106
188	50436.99628
189	50267.42494
190	50084.96433
191	50007.97867
192	49902.21016
193	49781.96737
194	49762.45308
195	49637.83905
196	49464.77615
197	49302.30709
198	49175.32561
199	49058.24507
200	48884.76998
201	48757.71701
202	48712.64099
203	48572.74825
204	48470.59408
205	48355.63251
206	48217.41805
207	48174.80468
208	48096.27686
209	47989.84005
210	47973.49164
211	47907.57089
212	47797.44064
213	47675.1594
214	47510.84258
215	47402.80711
216	47267.46611
217	47185.9285
218	47046.60568
219	46997.41404
220	46939.90507
221	46908.86383
222	46758.49346
223	46649.83923
224	46554.55114
225	46475.0465
226	46371.1582
227	46285.14477
228	46124.59767
229	46089.12408
230	45960.611
231	45848.43668
232	45774.40438
233	45643.75373
234	45575.52675
235	45459.75261
236	45367.29972
237	45265.25785
238	45169.70204
239	45092.86691
240	45079.21081
241	45055.76622
242	44960.07395
243	44904.96362
244	44761.19701
245	44651.86077
246	44562.34589
247	44529.59761
248	44409.98202
249	44371.88824
250	44182.43717
251	44066.70852
252	43958.18721
253	43879.50693
254	43787.96353
255	43758.77225
256	43686.65521
257	43562.26561
258	43463.18033
259	43289.70088
260	43228.34503
261	43089.63454
262	43028.82534
263	42926.3234
264	42854.89584
265	42781.10277
266	42660.76364
267	42464.17089
268	42368.0286
269	42316.04575
270	42220.75931
271	42159.72785
272	42066.72007
273	42024.08181
274	41867.61312
275	41772.55831
276	41698.8135
277	41626.41246
278	41548.30213
279	41423.68915
280	41361.95775
281	41230.29728
282	41092.31686
283	41020.36632
284	40903.57453
285	40729.44681
286	40586.31048
287	40509.28534
288	40313.83775
289	40283.37234
290	40150.01161
291	40023.01191
292	39979.29636
293	39863.64221
294	39709.81508
295	39600.87061
296	39474.56691
297	39400.62134
298	39319.01466
299	39229.25255
300	39089.90643
301	38969.89101
302	38801.71625
303	38709.78834
304	38603.10775
305	38562.18293
306	38435.57479
307	38335.79619
308	38226.58666
309	38031.01326
310	37963.8818
311	37833.73303
312	37717.76817
313	37631.06531
314	37520.42413
315	37413.07105
316	37263.71518
317	37098.45087
318	37011.95749
319	36905.19097
320	36777.47785
321	36635.72251
322	36603.35949
323	36463.85739
324	36345.93029
325	36235.68447
326	36144.89827
327	36014.76264
328	35899.24853
329	35852.75365
330	35746.82594
331	35652.9446
332	35547.64302
333	35455.33528
334	35353.3936
335	35249.5875
336	35126.12792
337	35015.29358
338	34918.24155
339	34812.51345
340	34605.84095
341	34519.77772
342	34436.65302
343	34241.2896
344	34180.71921
345	34097.02526
346	33995.74079
347	33888.72081
348	33799.94997
349	33695.64347
350	33660.49376
351	33633.95013
352	33536.63774
353	33471.69771
354	33392.51192
355	33322.09128
356	33224.79156
357	33185.666
358	33109.91853
359	33006.39304
360	32902.59035
361	32814.26218
362	32721.10985
363	32620.0584
364	32464.82923
365	32389.55409
366	32293.06943
367	32212.69388
368	32142.90863
369	31993.31087
370	31867.35241
371	31770.79004
372	31693.56174
373	31623.21347
374	31594.82907
375	31527.56745
376	31435.59329
377	31336.5419
378	31245.9442
379	31164.23206
380	31073.44472
381	31010.56395
382	30871.9946
383	30796.24365
384	30715.42253
385	30640.33832
386	30578.65729
387	30499.32981
388	30413.66888
389	30334.58202
390	30260.71448
391	30208.28665
392	30134.71015
393	29995.46866
394	29958.91129
395	29887.51328
396	29833.57849
397	29771.94957
398	29699.56757
399	29677.978
400	29604.62307
401	29539.46729
402	29510.44809
403	29490.39174
404	29450.41942
405	29373.50696
406	29304.22812
407	29235.00864
408	29154.38481
409	29083.67465
410	29049.98573
411	28983.37934
412	28915.92955
413	28842.9393
414	28761.30862
415	28695.93221
416	28614.80252
417	28552.03415
418	28519.86959
419	28447.61275
420	28398.31797
421	28373.3357
422	28323.39891
423	28254.11337
424	28217.96575
425	28156.39286
426	28101.83823
427	28049.19028
428	28009.45973
429	27944.88217
430	27819.39617
431	27754.84129
432	27687.93414
433	27568.24035
434	27502.04211
435	27432.03843
436	27367.35863
437	27309.51139
438	27264.43808
439	27236.83772
440	27173.56947
441	27112.71732
442	27054.58773
443	27005.00738
444	26971.18131
445	26914.95767
446	26864.52929
447	26811.02656
448	26758.86356
449	26715.96901
450	26655.40364
451	26607.23561
452	26588.50054
453	26511.90648
454	26456.26983
455	26413.39778
456	26382.62401
457	26329.37068
458	26267.72197
459	26215.59771
460	26156.05758
461	26137.05731
462	26093.39256
463	26061.65748
464	26011.21568
465	25959.66799
466	25907.00898
467	25780.14085
468	25735.73486
469	25683.17808
470	25643.77834
471	25627.09641
472	25572.30564
473	25551.75354
474	25507.91671
475	25407.24211
476	25345.39133
477	25301.18954
478	25254.26561
479	25206.44321
480	25147.35834
481	25096.95665
482	25060.2233
483	24973.69541
484	24934.13839
485	24916.36213
486	24881.62215
487	24838.58775
488	24798.57959
489	24759.39662
490	24713.34817
491	24677.28581
492	24634.41255
493	24589.19049
494	24543.12496
495	24505.02416
496	24457.71238
497	24387.79585
498	24350.67099
499	24290.66453
500	24271.87613
501	24238.48208
502	24195.59831
503	24118.74693
504	24078.86582
505	24037.95675
506	23987.17017
507	23951.45451
508	23921.15118
509	23875.73544
510	23854.7162
511	23802.19582
512	23779.58913
513	23736.94429
514	23712.28803
515	23673.97829
516	23640.41448
517	23616.35512
518	23572.67943
519	23511.8516
520	23453.99859
521	23429.40419
522	23374.87113
523	23264.73583
524	23245.73656
525	23196.32843
526	23180.04102
527	23142.13643
528	23096.62206
529	23022.40041
530	23007.18749
531	22983.65655
532	22943.12549
533	22917.37681
534	22880.45445
535	22857.02015
536	22822.83184
537	22790.32732
538	22758.10142
539	22720.1778
540	22687.76492
541	22582.4903
542	22469.82189
543	22430.58309
544	22382.16231
545	22349.31336
546	22320.21251
547	22269.26629
548	22238.29549
549	22213.32625
550	22165.49114
551	22068.92711
552	22043.01124
553	22006.72216
554	21960.2828
555	21938.8307
556	21842.1691
557	21795.2534
558	21754.26028
559	21711.57936
560	21669.87557
561	21628.86403
562	21596.94004
563	21555.01941
564	21526.95638
565	21494.91516
566	21481.5834
567	21413.72982
568	21380.63723
569	21336.20868
570	21303.5612
571	21278.90625
572	21170.41311
573	21123.66562
574	21032.40952
575	21001.28841
576	20973.55639
577	20885.21937
578	20858.86516
579	20849.72111
580	20822.54291
581	20804.57061
582	20761.84264
583	20752.64975
584	20661.10804
585	20623.01724
586	20583.09277
587	20552.78554
588	20503.19803
589	20461.46425
590	20432.56691
591	20399.78763
592	20313.22438
593	20290.35398
594	20267.65472
595	20221.10159
596	20186.19954
597	20162.81382
598	20128.04538
599	20109.54948
600	20079.72958
601	20060.37371
602	20012.98421
603	19994.12434
604	19970.52633
605	19936.63315
606	19915.65632
607	19891.06135
608	19860.39502
609	19772.59747
610	19744.178
611	19717.61367
612	19698.62162
613	19679.52107
614	19638.99077
615	19584.87251
616	19531.15778
617	19504.34977
618	19470.60723
619	19447.56359
620	19421.17774
621	19394.58999
622	19368.09166
623	19362.58189
624	19319.89487
625	19299.7738
626	19271.55041
627	19250.77932
628	19231.92262
629	19211.74139
630	19172.12554
631	19146.44176
632	19125.20334
633	19113.2802
634	19087.86114
635	19074.49502
636	19063.234
637	19034.67354
638	19026.48703
639	18998.57393
640	18973.80322
641	18961.12418
642	18945.85131
