iter	Passed	Remaining
0	105	104970
1	164	82201
2	259	86391
3	331	82532
4	413	82227
5	481	79751
6	562	79774
7	603	74890
8	685	75434
9	762	75529
10	842	75723
11	908	74827
12	969	73627
13	1019	71817
14	1081	71044
15	1148	70616
16	1208	69884
17	1272	69429
18	1352	69824
19	1423	69744
20	1487	69369
21	1541	68532
22	1604	68157
23	1661	67564
24	1734	67663
25	1812	67899
26	1882	67849
27	1962	68139
28	2046	68513
29	2099	67870
30	2161	67565
31	2219	67152
32	2280	66836
33	2348	66726
34	2417	66648
35	2474	66264
36	2528	65796
37	2586	65483
38	2645	65186
39	2699	64782
40	2766	64704
41	2831	64591
42	2905	64657
43	2985	64862
44	3062	64989
45	3146	65260
46	3226	65414
47	3306	65577
48	3388	65762
49	3464	65816
50	3537	65832
51	3610	65824
52	3686	65866
53	3749	65687
54	3788	65098
55	3851	64920
56	3911	64716
57	3987	64757
58	4063	64807
59	4158	65150
60	4239	65256
61	4322	65400
62	4365	64926
63	4444	65001
64	4496	64683
65	4579	64803
66	4664	64951
67	4751	65120
68	4828	65146
69	4907	65201
70	4985	65227
71	5012	64603
72	5096	64724
73	5161	64591
74	5253	64797
75	5304	64487
76	5379	64488
77	5413	63992
78	5491	64019
79	5571	64068
80	5650	64105
81	5736	64221
82	5824	64351
83	5882	64150
84	5963	64193
85	6046	64263
86	6122	64256
87	6202	64281
88	6287	64358
89	6347	64185
90	6413	64067
91	6490	64054
92	6568	64064
93	6646	64062
94	6732	64135
95	6814	64167
96	6897	64208
97	6986	64300
98	7042	64097
99	7125	64127
100	7206	64141
101	7269	64000
102	7342	63946
103	7433	64043
104	7524	64135
105	7610	64190
106	7673	64045
107	7742	63946
108	7801	63775
109	7867	63658
110	7929	63507
111	7990	63350
112	8056	63236
113	8132	63207
114	8221	63273
115	8309	63321
116	8391	63327
117	8474	63342
118	8619	63812
119	8679	63649
120	8749	63558
121	8825	63516
122	8906	63503
123	8975	63408
124	9040	63280
125	9125	63300
126	9184	63137
127	9255	63055
128	9309	62860
129	9385	62810
130	9458	62746
131	9536	62709
132	9598	62570
133	9664	62460
134	9736	62383
135	9800	62262
136	9870	62174
137	9957	62195
138	10041	62202
139	10140	62288
140	10231	62332
141	10309	62289
142	10404	62356
143	10490	62358
144	10600	62504
145	10684	62497
146	10775	62524
147	10846	62443
148	10919	62365
149	10950	62055
150	11007	61891
151	11067	61746
152	11126	61598
153	11185	61448
154	11252	61345
155	11321	61254
156	11394	61179
157	11454	61040
158	11515	60911
159	11592	60860
160	11671	60824
161	11736	60713
162	11813	60662
163	11879	60555
164	11944	60447
165	12011	60348
166	12084	60277
167	12162	60233
168	12245	60215
169	12338	60238
170	12421	60219
171	12510	60223
172	12597	60218
173	12680	60197
174	12751	60113
175	12820	60020
176	12891	59943
177	12953	59820
178	13014	59692
179	13087	59618
180	13172	59604
181	13241	59514
182	13301	59384
183	13369	59292
184	13433	59179
185	13493	59053
186	13560	58953
187	13644	58934
188	13727	58903
189	13806	58858
190	13867	58735
191	13928	58615
192	13985	58479
193	14050	58375
194	14113	58264
195	14177	58158
196	14236	58028
197	14295	57904
198	14347	57751
199	14410	57641
200	14470	57520
201	14544	57457
202	14619	57399
203	14692	57331
204	14770	57278
205	14839	57196
206	14902	57089
207	14958	56958
208	15015	56828
209	15077	56718
210	15126	56564
211	15174	56403
212	15229	56269
213	15279	56119
214	15327	55961
215	15382	55833
216	15437	55703
217	15498	55596
218	15565	55508
219	15626	55403
220	15685	55289
221	15754	55212
222	15816	55110
223	15894	55061
224	15981	55047
225	16043	54946
226	16121	54899
227	16190	54821
228	16254	54725
229	16346	54725
230	16441	54734
231	16541	54757
232	16610	54679
233	16681	54605
234	16755	54545
235	16820	54451
236	16901	54413
237	16986	54385
238	17068	54348
239	17146	54296
240	17168	54069
241	17209	53904
242	17272	53807
243	17333	53706
244	17396	53610
245	17458	53511
246	17520	53412
247	17590	53340
248	17661	53269
249	17752	53256
250	17818	53172
251	17882	53080
252	17942	52975
253	18019	52922
254	18101	52884
255	18170	52807
256	18282	52855
257	18391	52893
258	18458	52810
259	18532	52746
260	18616	52712
261	18710	52703
262	18807	52703
263	18898	52687
264	19044	52821
265	19180	52926
266	19294	52969
267	19403	52998
268	19492	52969
269	19573	52919
270	19657	52880
271	19739	52831
272	19829	52807
273	19908	52750
274	19993	52710
275	20068	52644
276	20140	52568
277	20225	52527
278	20308	52482
279	20379	52405
280	20453	52334
281	20546	52314
282	20629	52266
283	20707	52206
284	20794	52168
285	20884	52138
286	20966	52087
287	21029	51990
288	21080	51862
289	21139	51754
290	21195	51641
291	21252	51530
292	21308	51415
293	21373	51325
294	21441	51241
295	21521	51187
296	21592	51108
297	21665	51036
298	21741	50971
299	21822	50920
300	21900	50858
301	21970	50778
302	22025	50666
303	22097	50590
304	22185	50554
305	22264	50494
306	22335	50418
307	22386	50296
308	22447	50197
309	22537	50164
310	22609	50089
